"customerEmail","customerName","type","status","amount"
"zwells@martinez-wilson.info","Eric Navarro","customer","null","0"
"copy_zwells@martinez-wilson.info","Eric Navarro","lead","meeting-to-schedule","9681.17"
"copy_zwells@martinez-wilson.info","Eric Navarro","lead","meeting-to-schedule","2862.77"
"copy_zwells@martinez-wilson.info","Eric Navarro","lead","meeting-to-schedule","6882.41"
"copy_zwells@martinez-wilson.info","Eric Navarro","lead","meeting-to-schedule","8634.42"
"copy_zwells@martinez-wilson.info","Eric Navarro","lead","meeting-to-schedule","6229.91"
"copy_zwells@martinez-wilson.info","Eric Navarro","lead","meeting-to-schedule","9667.26"
"copy_zwells@martinez-wilson.info","Eric Navarro","lead","meeting-to-schedule","11111111.00"
"copy_zwells@martinez-wilson.info","Eric Navarro","ticket","open","3070.29"
"copy_zwells@martinez-wilson.info","Eric Navarro","ticket","open","4759.42"
"copy_zwells@martinez-wilson.info","Eric Navarro","ticket","open","4536.61"
"copy_zwells@martinez-wilson.info","Eric Navarro","ticket","open","7673.45"
"copy_zwells@martinez-wilson.info","Eric Navarro","ticket","open","7080.96"
"copy_zwells@martinez-wilson.info","Eric Navarro","ticket","open","123456789.00"
"copy_zwells@martinez-wilson.info","Eric Navarro","budget","null","50874.62"
"copy_zwells@martinez-wilson.info","Eric Navarro","budget","null","42449.10"
"copy_zwells@martinez-wilson.info","Eric Navarro","budget","null","50417.51"
